CIN,Company Name,Registered Office Address,State,City,PIN,Company Category,Company Subcategory,Class of Company,Authorized Capital,Paid-up Capital,Date of Incorporation,Date of Last AGM,Date of Balance Sheet,Data_Source_State,Data_Load_Timestamp
U24299PN2019PTC181506,Anuriuswell Pharmaceuticals Priavte Limited,"54/2B, Plot No-24, Ganesh Temple Ashirwad Park,Pune,Pune,Maharashtra,411060-India",Maharashtra,Nan,,Company limited by shares,,,100000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2019PTC187808,Skyi Fkur Biopolymers Private Limited,"Pap �X80X93S- 606364 Midc Chakan Industrial Area (Phase Ii) Taluka Khed,Pune,Pune,Maharashtra,410501-India",Maharashtra,Nan,,Company limited by shares,,,70000000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2020PTC192446,Chemengg Research Private Limited,"Gat No-90, Building N-2, Flat No-408, River Residency, Jadhavwadi, Chikhali,,Pune,Pune,Maharashtra,411062-India",Maharashtra,Nan,,Company limited by shares,,,100000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2020PTC192728,Vidhi Ayurvedic And Herbal Private Limited,"F No A 206 Taha Heights Near Prant Office,Ratnagiri,Mumbai City,Maharashtra,415605-India",Maharashtra,Nan,,Company limited by shares,,,100000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2021PTC202706,Gopadma Origins Private Limited,"F. No. 5, S.No.18/45/2 Indraprasth Park Near Maratha Mandir Bavdhan Khurd,Pune,Pune,Maharashtra,411021-India",Maharashtra,Nan,,Company limited by shares,,,500000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2021PTC204056,Elara Pharmaceuticals Private Limited,"Gat No.1236, Datta Nagar, 10Th Mail, Haveli, Wadki,Pune,Pune,Maharashtra,412308-India",Maharashtra,Nan,,Company limited by shares,,,500000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2022PTC212141,Pandharpur Agarbatti Industries Private Limited,"44/3/3 Opp Yamai Tukai Mandir Pandharpur,Pandharpur,Solapur,Maharashtra,413304-India",Maharashtra,Nan,,Company limited by shares,,,1000000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24299PN2022PTC216641,Sikkalgar And Son'S Ayur Pharma Private Limited,"Flat No 8 Building B Kumar Parijat S No 15/5 Kondhwa Kd Nibm Road,Pune,Pune,Maharashtra,411048-India",Maharashtra,Nan,,Company limited by shares,,,100000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24300MH1988PTC046033,Amar Fibres Private Limited,"310, Himalaya House,Palton Road, 3Rd Floor,,Mumbai 400 001,Maharashtra,000000-India",Maharashtra,Nan,,Company limited by shares,,,500000,,,,,Maharashtra,2025-10-18 23:48:45.534625
U24300MH2022PTC395055,Wish You Inb Pharmaceutical Private Limited,"Tukaram Plaza, D/104Nr Samarth Nagar, Adiwali,Thane,Thane,Maharashtra,421306-India",Maharashtra,Nan,,Company limited by shares,,,1500000,,,,,Maharashtra,2025-10-18 23:48:45.534625
